ENSOARG00000011575	ENSOARG00000006993										ENSOARG00000014856	ENSOARG00000009843	2		
ENSOARG00000011582	ENSOARG00000006999										ENSOARG00000015190	ENSOARG00000003601	2		
ENSOARG00000011615	ENSOARG00000007029										ENSOARG00000015547	ENSOARG00000007580	2		
ENSOARG00000011708	ENSOARG00000007044										ENSOARG00000016372	ENSOARG00000011522	2		
ENSOARG00000011939	ENSOARG00000007200										ENSOARG00000016859	ENSOARG00000000130	2		
ENSOARG00000011945	ENSOARG00000007244										ENSOARG00000016979	ENSOARG00000010382	2		
ENSOARG00000011991	ENSOARG00000007252										ENSOARG00000017163	ENSOARG00000016859	2		
ENSOARG00000012018	ENSOARG00000007262										ENSOARG00000017187	ENSOARG00000025549	2		
ENSOARG00000012024	ENSOARG00000007287										ENSOARG00000017203	ENSOARG00000024669	2		
ENSOARG00000012043	ENSOARG00000007329										ENSOARG00000017975	ENSOARG00000007919	2		
ENSOARG00000012094	ENSOARG00000007414										ENSOARG00000018281	ENSOARG00000012936	2		
ENSOARG00000012134	ENSOARG00000007432										ENSOARG00000018549	ENSOARG00000003867	2		
ENSOARG00000012149	ENSOARG00000007494										ENSOARG00000019235	ENSOARG00000013183	2		
ENSOARG00000012165	ENSOARG00000007510										ENSOARG00000019829	ENSOARG00000006087	2		
ENSOARG00000012206	ENSOARG00000007534										ENSOARG00000020194	ENSOARG00000005471	2		
ENSOARG00000012224	ENSOARG00000007549										ENSOARG00000020431	ENSOARG00000000848	2		
ENSOARG00000012659	ENSOARG00000007579										ENSOARG00000020481	ENSOARG00000013724	2		
ENSOARG00000012668	ENSOARG00000007580										ENSOARG00000023487	ENSOARG00000014661	2		
ENSOARG00000012705	ENSOARG00000007622										ENSOARG00000024669	ENSOARG00000018427	2		
ENSOARG00000012848	ENSOARG00000007648										ENSOARG00000025788	ENSOARG00000019883	2		
ENSOARG00000012893	ENSOARG00000007656										ENSOARG00000026516	ENSOARG00000014729	2		
ENSOARG00000012958	ENSOARG00000007666										TX-F1-diet	ENSOARG00000000684	2		
ENSOARG00000013019	ENSOARG00000007696										ENSOARG00000000531	ENSOARG00000000858	2		
ENSOARG00000013044	ENSOARG00000007720										ENSOARG00000000870	ENSOARG00000020626	2		
ENSOARG00000013100	ENSOARG00000007738										ENSOARG00000000879	ENSOARG00000001395	2		
ENSOARG00000013211	ENSOARG00000007745										ENSOARG00000000936	ENSOARG00000017123	2		
ENSOARG00000013273	ENSOARG00000007753										ENSOARG00000001346	ENSOARG00000002079	2		
ENSOARG00000013430	ENSOARG00000007775										ENSOARG00000001968	ENSOARG00000007579	2		
ENSOARG00000013521	ENSOARG00000007806										ENSOARG00000002031	ENSOARG00000002746	2		
ENSOARG00000013538	ENSOARG00000008011										ENSOARG00000003044	ENSOARG00000005318	2		
ENSOARG00000013545	ENSOARG00000008063										ENSOARG00000003121	ENSOARG00000013545	2		
ENSOARG00000013628	ENSOARG00000008076										ENSOARG00000005014	ENSOARG00000004049	2		
ENSOARG00000013669	ENSOARG00000008189										ENSOARG00000005450	ENSOARG00000010230	2		
ENSOARG00000013694	ENSOARG00000008243										ENSOARG00000005699	ENSOARG00000004881	2		
ENSOARG00000013714	ENSOARG00000008285										ENSOARG00000005854	ENSOARG00000017882	2		
ENSOARG00000013724	ENSOARG00000008313										ENSOARG00000006408	ENSOARG00000007720	2		
ENSOARG00000013790	ENSOARG00000008351										ENSOARG00000006557	ENSOARG00000011582	2		
ENSOARG00000014073	ENSOARG00000008399										ENSOARG00000006941	ENSOARG00000010691	2		
ENSOARG00000014123	ENSOARG00000008460										ENSOARG00000007322	ENSOARG00000006085	2		
ENSOARG00000014207	ENSOARG00000008468										ENSOARG00000007849	ENSOARG00000018091	2		
ENSOARG00000014226	ENSOARG00000008491										ENSOARG00000007935	ENSOARG00000001783	2		
ENSOARG00000014232	ENSOARG00000008648										ENSOARG00000008330	ENSOARG00000009225	2		
ENSOARG00000014509	ENSOARG00000008650										ENSOARG00000008660	ENSOARG00000013628	2		
ENSOARG00000014586	ENSOARG00000008705										ENSOARG00000008867	ENSOARG00000009750	2		
ENSOARG00000014717	ENSOARG00000008743										ENSOARG00000008913	ENSOARG00000013044	2		
