"","ensembl_gene_id","go_id"
"280","ENSOARG00000001254","GO:0005622"
"281","ENSOARG00000001254","GO:0005615"
"282","ENSOARG00000001254","GO:0043506"
"283","ENSOARG00000001254","GO:0006631"
"284","ENSOARG00000001254","GO:0005518"
"285","ENSOARG00000001254","GO:0006629"
"286","ENSOARG00000001254","GO:0006641"
"287","ENSOARG00000001254","GO:0008201"
"288","ENSOARG00000001254","GO:0043206"
"289","ENSOARG00000001254","GO:0030199"
"290","ENSOARG00000001254","GO:0007160"
"291","ENSOARG00000001254","GO:0005578"
"292","ENSOARG00000001254","GO:0016337"
"293","ENSOARG00000001254","GO:0030198"
"294","ENSOARG00000001254","GO:0005576"
"295","ENSOARG00000001395","GO:0030247"
"296","ENSOARG00000001395","GO:0006898"
"297","ENSOARG00000001395","GO:0005044"
"298","ENSOARG00000001395","GO:0008234"
"299","ENSOARG00000001395","GO:0006508"
"300","ENSOARG00000001395","GO:0006955"
"301","ENSOARG00000001395","GO:0070062"
"302","ENSOARG00000001395","GO:0005515"
"303","ENSOARG00000001395","GO:0031012"
"304","ENSOARG00000001395","GO:0043236"
"305","ENSOARG00000001395","GO:0005737"
"306","ENSOARG00000001554","GO:0005515"
"307","ENSOARG00000001554","GO:0005509"
"308","ENSOARG00000001554","GO:1903561"
"309","ENSOARG00000001554","GO:0070062"
"310","ENSOARG00000001554","GO:0010811"
"311","ENSOARG00000001554","GO:0050840"
"312","ENSOARG00000001587","GO:0005515"
"313","ENSOARG00000001587","GO:0005576"
"314","ENSOARG00000001587","GO:0005509"
"315","ENSOARG00000001637","GO:0005515"
"316","ENSOARG00000001637","GO:0005578"
"317","ENSOARG00000001637","GO:0031012"
"318","ENSOARG00000001637","GO:0005615"
"319","ENSOARG00000001637","GO:0030199"
"320","ENSOARG00000001735","GO:0005515"
"321","ENSOARG00000001745","GO:0007156"
"322","ENSOARG00000001745","GO:0007155"
"323","ENSOARG00000001745","GO:0005886"
"324","ENSOARG00000001745","GO:0016021"
"325","ENSOARG00000001745","GO:0016020"
"326","ENSOARG00000001745","GO:0005509"
"327","ENSOARG00000001745","GO:0043083"
"328","ENSOARG00000001745","GO:0043679"
"329","ENSOARG00000001745","GO:0035249"
"330","ENSOARG00000001745","GO:0009409"
"331","ENSOARG00000001745","GO:0007268"
"332","ENSOARG00000001783","GO:0031668"
"333","ENSOARG00000001783","GO:0035994"
"334","ENSOARG00000001783","GO:0007399"
"335","ENSOARG00000001783","GO:0045672"
"336","ENSOARG00000001783","GO:0000979"
"337","ENSOARG00000001783","GO:0071277"
"338","ENSOARG00000001783","GO:0035914"
"339","ENSOARG00000001783","GO:0000978"
"340","ENSOARG00000001783","GO:0003682"
