mirna,TC_3B,TF_4H,TF_4P,FF_5B,F1F_7G,F1F_7M,TF_9K,TC_11E,TF_13B,F1C_19A,FF_21J,TF_22A,FF_23C,F1F_24A,TC_26B,TC_27A,F1C_29A,F1F_31A,F1F_33A,FF_35C,F1C_37,FF_39A,FF_39E,FF_39J,FC_42B,TF_43A,TC_44A,FC_45A,FC_46F,TF_379,FC_41B,TF_787,FF_801,FC_974,F1C_4208,F1F_4563,F1F_4590
novel_13_186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
novel_13_187,0,0,0,6,0,0,0,0,6,4,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_13_188,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_13_189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_13_190,9,7,0,0,12,7,0,10,27,16,0,0,21,0,9,7,8,0,16,0,0,0,8,0,0,0,10,0,9,0,17,0,8,9,0,0,12
novel_13_191,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_13_192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
novel_13_193,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0
novel_13_194,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
novel_13_195,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,23,0,0,0,0
novel_13_196,0,0,0,10,0,0,7,0,21,11,0,0,0,0,13,7,0,0,0,8,7,7,14,7,0,0,10,0,0,0,12,9,0,8,0,0,0
novel_13_197,0,0,68,70,0,106,139,0,0,0,84,157,0,0,0,0,0,156,0,112,0,0,171,0,0,65,0,0,0,0,105,88,0,0,131,130,0
novel_13_198,0,0,0,0,8,0,0,0,0,27,8,0,0,0,17,10,13,0,9,0,0,10,19,12,11,8,13,0,14,0,0,0,0,28,0,0,0
novel_13_199,257,370,279,664,951,851,435,604,2352,1419,605,490,1414,410,780,563,599,524,412,744,284,583,1119,697,705,212,844,758,815,992,1176,929,669,990,453,579,477
novel_13_200,0,0,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,8,0,9,0,0,0,13,0,0,0
novel_13_201,52,30,18,37,83,76,51,62,200,180,15,116,185,68,135,58,41,24,82,21,58,27,133,71,49,119,76,56,57,84,92,56,66,137,55,66,185
novel_13_202,1747,1170,745,2305,3144,2356,1971,2803,6234,4796,2379,2554,6200,1687,2581,2551,2997,2122,3139,2729,2878,1616,4220,2567,2323,2057,3008,1781,2420,2863,3503,2832,3657,2817,1957,2157,2766
novel_13_203,71,31,24,26,70,36,28,52,106,85,34,52,88,21,59,57,26,18,76,27,52,22,68,36,37,110,52,48,51,41,56,55,53,48,31,34,139
novel_13_204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7
novel_13_205,0,0,0,0,0,17,0,0,0,15,0,0,9,0,0,0,0,0,0,0,0,13,9,0,0,0,0,0,0,15,24,0,0,26,0,0,0
novel_13_206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,10
novel_13_207,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_13_208,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_13_209,0,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,0,0,0
novel_14_210,0,0,45,137,0,37,52,110,0,0,113,0,197,0,114,76,108,60,81,91,82,107,163,167,175,42,250,80,103,111,171,189,211,269,0,30,172
novel_14_211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0
novel_14_212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_14_213,0,0,0,12,7,0,0,0,11,0,16,0,13,0,0,10,9,0,0,0,0,13,17,10,8,0,0,7,0,0,0,0,0,0,0,9,0
novel_14_214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0
novel_14_215,0,0,0,20,0,16,31,36,73,44,7,0,0,19,51,14,24,15,0,0,12,9,37,0,11,18,21,0,24,56,42,24,0,48,9,10,48
novel_14_216,0,27,13,13,11,12,0,12,56,22,10,7,0,0,9,12,8,0,0,0,0,0,0,0,0,0,24,0,11,15,15,28,0,0,0,0,11
novel_14_217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
novel_14_218,16,20,8,14,23,23,13,23,50,31,24,14,20,26,18,23,20,8,16,23,13,21,21,36,18,16,35,11,44,17,19,28,13,20,18,13,34
novel_14_219,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
novel_14_220,996,2298,1799,2087,2108,2335,2758,960,3190,2085,2010,573,1377,1873,2283,1734,1756,1349,1041,2072,1236,2723,2336,2704,1328,670,2938,1521,3756,1955,1931,3011,1616,1789,1435,1192,1746
novel_14_221,10452,23325,23785,32030,22180,25557,26862,36608,105795,40746,25346,15390,35265,15772,28998,22072,23787,17458,11216,29498,12629,36212,48287,26300,24682,6346,36119,47096,50214,44383,50885,47056,22294,40031,22006,20102,18978
novel_14_222,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_14_223,0,0,0,0,9,0,0,0,19,13,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,16,0,0,9,0,0,0,0,0,0,0
novel_14_224,0,7,0,0,9,9,0,0,0,0,0,0,8,10,0,0,0,0,13,0,0,6,0,8,0,0,0,0,7,0,8,0,8,6,0,0,0
novel_14_225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
novel_14_226,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_14_227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_14_228,0,10,0,11,8,0,8,14,12,8,0,7,15,0,0,0,12,0,11,0,13,7,10,0,0,0,5,0,0,0,0,0,0,0,12,0,14
novel_14_229,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,7,0,0,0
novel_14_230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_14_231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_14_232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
novel_14_233,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_14_234,267,52,60,149,235,295,100,163,557,359,123,199,361,160,323,163,131,116,217,117,162,122,391,184,162,374,227,235,171,229,249,182,199,250,108,154,697
novel_14_235,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
novel_14_236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,34
novel_14_237,926,542,288,1502,1963,1588,819,1606,4114,3783,877,1660,4157,734,1878,1210,1247,819,1442,1508,782,1123,2696,1401,930,1108,1574,1451,921,1893,3598,1015,1596,2447,984,1583,1613
novel_14_238,0,12,0,0,0,0,0,0,0,32,0,0,0,0,12,9,16,7,14,0,0,0,35,0,0,0,0,12,22,7,0,19,0,0,0,0,14
novel_14_239,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_14_240,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_14_241,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0
novel_14_242,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,22,0,0,0,0,25,0,0,33,0,0,0,0,0,0
